osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
607387486,Wał Kotowice-Siedlce,compacted,grade2,,,1.26,77,Good,yes,yes,track,51.017789,17.243388,51.014352,17.256445,20,23,12,10,7,5
607488385,,compacted,,intermediate,,0.48,77,Good,yes,yes,path,51.161259,17.081084,51.157791,17.084902,20,15,15,15,7,5
608139509,,compacted,,intermediate,,1.24,77,Good,yes,yes,path,51.157732,17.084956,51.153997,17.101309,20,15,15,15,7,5
616369204,Grobla Szczytnicko-Bartoszowicka,compacted,,intermediate,,1.25,77,Good,yes,designated,path,51.103168,17.071745,51.098929,17.08744,20,15,15,15,7,5
624142207,,compacted,,intermediate,,0.57,77,Good,yes,yes,path,51.174898,17.04165,51.171389,17.04748,20,15,15,15,7,5
637964416,,compacted,,intermediate,,1.97,77,Good,yes,yes,path,51.201315,16.994389,51.207369,16.968176,20,15,15,15,7,5
677625132,,compacted,,intermediate,,0.9,77,Good,yes,yes,path,51.179125,16.903173,51.186184,16.907391,20,15,15,15,7,5
683668450,,compacted,,intermediate,,0.19,77,Good,yes,designated,path,51.208287,16.964329,51.206699,16.963655,20,15,15,15,7,5
684745457,Parkowa,ground,grade1,,6.0,0.17,77,Good,yes,yes,track,50.929784,16.831091,50.929681,16.832842,15,25,12,10,10,5
738906910,,compacted,grade2,,,0.18,77,Good,yes,yes,track,51.30349,16.924358,51.303712,16.921748,20,23,12,10,7,5
855610498,,compacted,,intermediate,,0.74,77,Good,yes,yes,path,51.194682,17.008398,51.198217,17.000319,20,15,15,15,7,5
868229862,,compacted,grade2,,,0.21,77,Good,yes,yes,track,51.304769,16.920162,51.306553,16.919596,20,23,12,10,7,5
871736136,,compacted,grade2,,,0.44,77,Good,yes,yes,track,51.272864,16.985659,51.272967,16.991949,20,23,12,10,7,5
919634302,,fine_gravel,,intermediate,,0.11,77,Good,yes,yes,service,51.138914,17.191068,51.139568,17.19067,25,15,15,10,7,5
964839688,Wał Kotowice-Siedlce,compacted,grade2,,,0.86,77,Good,yes,yes,track,51.016425,17.268413,51.010275,17.273365,20,23,12,10,7,5
964839696,Wał Kotowice-Siedlce,compacted,grade2,,,0.66,77,Good,yes,yes,track,50.987668,17.291441,50.982044,17.291686,20,23,12,10,7,5
967609375,Wał Kotowice-Siedlce,compacted,grade2,,,0.23,77,Good,yes,yes,track,51.014352,17.256445,51.015374,17.259278,20,23,12,10,7,5
967609377,Wał Kotowice-Siedlce,compacted,grade2,,,0.73,77,Good,yes,yes,track,51.015374,17.259278,51.016425,17.268413,20,23,12,10,7,5
967609378,Wał Kotowice-Siedlce,compacted,grade2,,,0.85,77,Good,yes,yes,track,51.010275,17.273365,51.005507,17.280451,20,23,12,10,7,5
971176864,,compacted,grade2,,,0.1,77,Good,yes,yes,track,51.271816,16.477931,51.272074,16.47653,20,23,12,10,7,5
981208721,,compacted,,,3.0,0.2,77,Good,yes,yes,path,51.138068,16.932608,51.13849,16.929775,20,15,12,15,10,5
1008962382,,fine_gravel,grade3,intermediate,,0.12,77,Good,yes,yes,track,51.251903,16.838248,51.252166,16.839934,25,15,15,10,7,5
1022365597,Szmaragdowa,compacted,grade2,,,0.46,77,Good,yes,yes,track,51.252754,17.352087,51.256077,17.355951,20,23,12,10,7,5
1046295068,,compacted,,,4.0,0.15,77,Good,yes,yes,path,51.151745,16.993098,51.152883,16.992255,20,15,12,15,10,5
1051811032,,gravel,,good,,0.73,77,Good,yes,yes,service,51.311713,16.867853,51.317674,16.871182,22,15,18,10,7,5
1054727579,Józefa Bożka,compacted,grade2,,,0.14,77,Good,yes,yes,track,51.02966,17.332193,51.028487,17.331492,20,23,12,10,7,5
1057819239,Droga Murzycka,gravel,,good,,0.94,77,Good,yes,yes,service,51.303498,16.87444,51.295961,16.869493,22,15,18,10,7,5
1082171642,Jana Heweliusza,compacted,grade2,,,0.12,77,Good,yes,yes,track,51.109388,17.090022,51.109548,17.088355,20,23,12,10,7,5
1095005273,,compacted,,intermediate,,0.1,77,Good,yes,yes,path,51.083712,17.08194,51.084178,17.080775,20,15,15,15,7,5
1102913567,,compacted,,,3.0,0.26,77,Good,yes,yes,path,51.053141,17.047173,51.051239,17.049366,20,15,12,15,10,5
1167747436,Przemysłowa,compacted,grade2,,,0.23,77,Good,yes,yes,service,50.91285,17.514831,50.911341,17.512604,20,23,12,10,7,5
1173264262,,compacted,grade2,,,0.15,77,Good,yes,yes,track,51.313569,16.5284,51.312449,16.529495,20,23,12,10,7,5
1200815087,,compacted,grade2,,,0.18,77,Good,yes,yes,track,50.975272,17.378113,50.97372,17.378865,20,23,12,10,7,5
1221875186,,compacted,grade2,,,0.48,77,Good,yes,yes,track,51.161259,17.081084,51.157791,17.084902,20,23,12,10,7,5
1274571559,,compacted,,intermediate,,0.41,77,Good,yes,designated,path,51.161256,16.928094,51.164535,16.925969,20,15,15,15,7,5
1288396757,,compacted,grade2,,,2.44,77,Good,yes,yes,track,51.07867,17.310174,51.057464,17.318537,20,23,12,10,7,5
1292667765,,fine_gravel,grade2,very_bad,,0.19,77,Good,yes,yes,track,51.152845,16.917985,51.154523,16.917788,25,23,7,10,7,5
1316808669,,compacted,grade2,,,0.63,77,Good,yes,yes,track,51.090991,16.90017,51.088659,16.895295,20,23,12,10,7,5
1316808672,,compacted,grade2,,,0.11,77,Good,yes,yes,track,51.089594,16.896266,51.088655,16.896525,20,23,12,10,7,5
1323863874,,compacted,,intermediate,,0.54,77,Good,yes,designated,path,51.164582,16.92594,51.169023,16.923257,20,15,15,15,7,5
1383703104,Grobla Kozanowska,compacted,grade2,,,0.24,77,Good,yes,yes,track,51.129834,17.005807,51.130769,17.002702,20,23,12,10,7,5
1391224197,,compacted,,intermediate,,0.24,77,Good,yes,yes,path,51.177574,16.90053,51.178986,16.902971,20,15,15,15,7,5
1409536386,,gravel,,bad,,0.19,77,Good,yes,yes,path,51.071495,17.062244,51.072404,17.064453,22,15,13,15,7,5
1409536387,,gravel,,bad,,0.26,77,Good,yes,yes,path,51.071092,17.053924,51.071389,17.05765,22,15,13,15,7,5
1466093518,,compacted,,intermediate,,0.18,77,Good,yes,yes,path,51.131917,16.972923,51.130645,16.974579,20,15,15,15,7,5
1472639873,,compacted,,intermediate,,0.1,77,Good,yes,yes,path,51.129337,16.976095,51.129909,16.977172,20,15,15,15,7,5
1484151255,,compacted,,intermediate,,0.13,77,Good,yes,yes,path,51.129444,16.974262,51.129337,16.976095,20,15,15,15,7,5
46579511,,gravel,,,,0.16,76,Good,yes,yes,path,51.035007,17.154912,51.035993,17.154324,22,15,12,15,7,5
46579514,,gravel,,,,0.21,76,Good,yes,yes,path,51.035631,17.155687,51.034822,17.154883,22,15,12,15,7,5
46579517,,gravel,,,,0.13,76,Good,yes,yes,path,51.034901,17.154886,51.035157,17.154959,22,15,12,15,7,5
46579521,,gravel,,,,0.28,76,Good,yes,yes,path,51.034888,17.155658,51.035278,17.153705,22,15,12,15,7,5
56755251,,gravel,,,,0.39,76,Good,yes,yes,path,51.104692,17.119867,51.103014,17.115303,22,15,12,15,7,5
114239004,,gravel,,,,0.14,76,Good,yes,yes,path,51.124829,16.916268,51.126004,16.916538,22,15,12,15,7,5
167804533,,gravel,,,,0.26,76,Good,yes,yes,path,51.148131,16.873313,51.147223,16.870105,22,15,12,15,7,5
183826337,,gravel,,,,0.93,76,Good,yes,yes,path,50.837583,16.727194,50.84375,16.725886,22,15,12,15,7,5
200058628,,compacted,grade2,bad,,0.32,76,Good,permit,yes,track,51.154305,16.923531,51.151762,16.925638,20,23,13,8,7,5
217470217,,gravel,,,,0.64,76,Good,yes,designated,path,50.937159,16.504036,50.933737,16.511376,22,15,12,15,7,5
221164318,,gravel,,,,0.38,76,Good,yes,yes,path,51.149255,16.874869,51.151032,16.876842,22,15,12,15,7,5
221164321,,gravel,,,,0.17,76,Good,yes,yes,path,51.151043,16.876573,51.151309,16.874161,22,15,12,15,7,5
247493606,,gravel,,,,0.34,76,Good,yes,yes,path,51.148131,16.873313,51.147516,16.873546,22,15,12,15,7,5
262557941,,gravel,,,,0.51,76,Good,yes,yes,path,50.833959,16.718694,50.831949,16.725109,22,15,12,15,7,5
284276125,,gravel,,,,0.13,76,Good,yes,yes,path,51.13115,17.058746,51.1319,17.057317,22,15,12,15,7,5
308781317,,gravel,,,,0.14,76,Good,yes,yes,path,50.702146,17.109456,50.702146,17.109456,22,15,12,15,7,5
338619590,,gravel,,,,0.34,76,Good,yes,yes,path,50.710342,16.86601,50.712821,16.863701,22,15,12,15,7,5
355824347,,gravel,,,,0.65,76,Good,yes,yes,path,50.849003,16.688383,50.846916,16.696672,22,15,12,15,7,5
356813214,,gravel,,,,0.42,76,Good,yes,yes,path,50.833335,16.734959,50.833752,16.740974,22,15,12,15,7,5
356842768,,gravel,,,,0.23,76,Good,yes,yes,path,50.834357,16.726428,50.836391,16.725989,22,15,12,15,7,5
375851019,,compacted,grade3,good,2.5,0.35,76,Good,yes,yes,track,51.192489,16.917478,51.189902,16.919934,20,15,18,10,8,5
383951986,,gravel,,,,0.15,76,Good,yes,designated,path,51.148502,16.897302,51.148469,16.899436,22,15,12,15,7,5
383951990,,gravel,,,,0.1,76,Good,yes,designated,path,51.148502,16.897302,51.148359,16.895821,22,15,12,15,7,5
411578544,,gravel,,,,0.3,76,Good,yes,yes,path,51.165003,16.59806,51.165146,16.598638,22,15,12,15,7,5
436289052,,gravel,,,,0.79,76,Good,yes,yes,path,51.315474,16.452597,51.321413,16.458558,22,15,12,15,7,5
506123098,,gravel,,,,0.28,76,Good,yes,yes,path,51.149414,16.873334,51.147976,16.87453,22,15,12,15,7,5
590435525,,gravel,,,,0.15,76,Good,yes,designated,path,51.141132,16.847673,51.140806,16.845699,22,15,12,15,7,5
609708507,,gravel,,,,0.18,76,Good,yes,yes,path,50.70914,16.860274,50.70819,16.862312,22,15,12,15,7,5
610634787,Singiel MTB,gravel,,,,0.37,76,Good,yes,yes,path,50.727899,17.124934,50.728895,17.128154,22,15,12,15,7,5
612046432,,gravel,,,,0.11,76,Good,yes,yes,path,50.711013,16.863537,50.710436,16.864582,22,15,12,15,7,5
627348713,,gravel,,,,0.29,76,Good,yes,yes,path,51.134354,17.038767,51.134663,17.040808,22,15,12,15,7,5
677889396,,gravel,,,,0.76,76,Good,yes,yes,path,50.851303,17.478287,50.851086,17.47737,22,15,12,15,7,5
677889400,,gravel,,,,0.11,76,Good,yes,yes,path,50.850245,17.480265,50.850052,17.479165,22,15,12,15,7,5
